
============================================================
  [watchdog] Starting forecaster (inner attempt 1/3)
============================================================
  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  [CData] priming session (getInstructions) ...
  [CData] session ready.
  Manual projection columns: 05_24_W1 -> 11_15_W26

[1/4] Pulling projections from Quickbase ...
      [QB REST] fetching field map ...
      [WARN] 1 columns absent from QB field map (first 5: ['UPSPW'])
      130 records retrieved (QB REST API)

[1.5] Amazon switchover auto-link + Switchover_Date backfill ...

[2/4] Pulling master pack + Season from Styles ...
      [QB REST] fetching Styles field map ...
      130 master pack records loaded (0 with Season tag) (QB REST API)

[2.6c] Retailer POS + OH: fetching for 130 non-Amazon mstyles ...
      49 acct-mstyle combos with retailer POS data

[2.6d] Pulling Inventory Flow (Beg Inv + Recpts + OpenPOs + LT) for 130 mstyles ...
      130 mstyles with Inv Flow data loaded (QB REST API)

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 130 keys (w1_date=2026-05-24) ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 10,276 rows in 3.9s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 173 in-scope rows across 46 keys (skipped: 10,101 out-of-scope · 0 zero-qty · 0 no-date · 2 outside-26w)
      46 keys have confirmed forward POs (total open qty: 231,266 units)

[2.9] VP-ATS: fetching ATS L26W history for 130 mstyles ...
      [vp-ats] fetching ATS L26W history from bv2sxg2ji (130 mstyles) ...
      [vp-ats] 18 mstyles with ATS history loaded  (982 filtered out)
      18 mstyles loaded, 18 with at least one non-zero ATS week
      Mstyle-family index: 115 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 96.2)
      Account-cadence    : 1 accounts indexed

[3/4] Running forecasts ...

[2.9] F60 -- EC transition history inheritance ...
      0 EC variants inherited parent history

[2.9b] F69 — DI direct-import sibling history pull ...
      0 DI sibling variant(s) blended into 0 base record(s)
  [watchdog] still running -- 1s since last output | last:       0 DI sibling variant(s) blended into 0 base record(s)
  [F58] Loaded 19 active AI adjustments (last 60 days)
      130 forecasts complete in 2.7s
      Croston's: 3  Heuristic: 2  Inactive: 14  Inactive+Floor: 3  Inactive+S6 (off-price): 1  OTB (zero): 38  Pre-launch NEW (manual passthrough): 4  Reactivating: 5  Seasonal Baseline: 1  Sparse Intermittent: 59  Bi-weekly enforced: 5  Alerts (>7.5%): 114
      [cat-profile gate] 6 profile(s) rejected by SKU gate (need >7 consistent SKUs):
        P2-subcategory 'Cleaning Tools||Microfiber Cloths'      n_skus=5 (filtered 9 records)
        P2-subcategory 'Cleaning Tools||Sponge'                 n_skus=7 (filtered 6 records)
        P2-subcategory 'Air Care||Aerosol'                      n_skus=7 (filtered 4 records)
        P2-subcategory 'Grooming||Paw Care'                     n_skus=3 (filtered 1 records)
        P2-subcategory 'Training||Spray'                        n_skus=4 (filtered 1 records)
        P3-category 'Training'                               n_skus=4 (filtered 1 records)
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  130 records  |  Total 26w demand: 492,988
  AI  13640-FF10162               0    0    0    0    0    0    0    0    0 3942    0    0    0    0    0    0    0 3942    0    0    0    0    0    0    0 3948     455  +31.5% 
  Man 13640-FF10162               0    0    0    0    0    0    0    0    0    0 3000    0    0    0    0 3000    0    0    0 3000    0    0    0    0    0    0     346
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF20208               0    0    0 1428    0    0    0    0    0 1428    0    0    0    0    0 1428    0    0    0    0 1428    0    0    0    0    0     220  +4.8% 
  Man 13640-FF20208               0 1200    0    0    0    0    0    0    0    0    0    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB19112               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB19112             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22118               0    0    0    0    0    0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +70.0% 
  Man 13640-BB22118               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  400    0    0    0  400    0    0    0  400    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB29122               0    0    0    0    0    0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +70.0% 
  Man 13640-BB29122               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  400    0    0    0  400    0    0    0  400    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30276               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB30276             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30587               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-BB30587               0    0    0  200    0    0    0  200    0    0    0  200    0    0    0  200    0    0    0    0    0    0    0    0    0    0      31
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF20206               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF20206               0    0  600    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF20207               0    0 1002    0    0    0    0    0    0    0 1002    0    0    0    0    0    0    0    0  252    0    0    0    0    0    0      87  +24.8% 
  Man 13640-FF20207               0    0  600    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31061               0    0    0    0 2580    0    0    0    0    0    0    0 2580    0    0    0 2580    0    0    0    0    0    0    0 2592    0     397  +187.0% [BW]
  Man 13640-FF31061               0    0    0    0    0    0    0    0    0    0 1200    0    0    0    0 1200    0    0    0 1200    0    0    0    0    0    0     138
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0009                0    0    0    0    0    0    0    0    0    0    0  480    0    0    0    0    0    0    0    0    0    0    0    0    0    0      18  +82.2% 
  Man 13640-BB0009                0    0    0  600    0    0    0  600    0    0    0  600    0    0    0  300    0    0    0  300    0    0    0  300    0    0     104
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0012                0    0    0    0    0    0    0    0    0    0    0  498    0    0    0  498    0    0    0  498    0    0    0  498    0    0      77  +0.4% 
  Man 13640-BB0012                0    0    0    0    0    0    0    0    0    0    0  500    0    0    0  500    0    0    0  500    0    0    0  500    0    0      77
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0015                0    0    0    0    0    0    0    0    0    0    0  480    0    0    0    0    0    0    0    0    0    0    0    0    0    0      18  +85.5% 
  Man 13640-BB0015                0 1200    0    0    0    0    0  600    0    0    0  600    0    0    0  300    0    0    0  300    0    0    0  300    0    0     127
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0018                0    0    0    0    0    0    0    0    0    0    0  480    0    0    0    0    0    0    0    0    0    0    0    0    0    0      18  +80.0% 
  Man 13640-BB0018                0    0    0    0    0    0    0    0    0    0    0  600    0    0    0  600    0    0    0  600    0    0    0  600    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0722                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-BB0722                0    0    0 3600    0    0    0 1800    0    0    0 1800    0    0    0 1800    0    0    0 1800    0    0    0 1800    0    0     485
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB11603               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB11603             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22117               0    0    0 5442    0    0    0    0    0    0    0    0    0 5442    0    0    0    0    0    0    0    0    0 5436    0    0     628  +81.3% 
  Man 13640-BB22117               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 3000    0    0    0 3000    0    0    0 3000    0    0     346
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF20209               0    0    0 3180    0    0    0    0    0 3180    0    0    0    0    0 3180    0    0    0    0    0 3192    0    0    0    0     490  +57.2% 
  Man 13640-FF20209               0    0    0    0    0    0    0    0    0    0 2700    0    0    0    0 2700    0    0    0 2700    0    0    0    0    0    0     312
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB19113               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB19113             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31324               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF31324               0    0  500    0    0    0  500    0    0    0  500    0    0    0    0  500    0    0    0  500    0    0    0    0    0    0      96
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB26922               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB26922             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB26921               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB26921             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF8882                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF8882              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF14584               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF14584             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0759                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB0759              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0216                0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +80.0% 
  Man 13640-BB0216                0    0    0  600    0    0    0  600    0    0    0  600    0    0    0    0    0    0    0    0    0    0    0    0    0    0      69
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0217                0    0    0    0    0 7170    0    0    0    0    0    0    0 7170    0    0    0    0    0    0    0 7170    0    0    0    0     827  +198.8% 
  Man 13640-BB0217                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 2400    0    0    0 2400    0    0    0 2400    0    0     277
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB12019               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB12019             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB16535               0    0    0  240    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       9  +4.0% 
  Man 13640-BB16535               0    0    0    0    0    0    0  250    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      10
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB21237               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB21237             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0080                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB0080              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0409                0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +88.8% 
  Man 13640-BB0409                0    0    0  800    0    0    0  800    0    0    0  400    0    0    0  400    0    0    0  400    0    0    0  400    0    0     123
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB16537               0    0    0    0    0  960    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      37  +54.3% 
  Man 13640-BB16537               0    0    0  600    0    0    0  300    0    0    0  300    0    0    0  300    0    0    0  300    0    0    0  300    0    0      81
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30279               0    0  324    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      12  +8.0% 
  Man 13640-BB30279               0    0    0    0    0    0    0    0    0    0    0  300    0    0    0    0    0    0    0    0    0    0    0    0    0    0      12
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0760                0    0    0    0    0    0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +85.0% 
  Man 13640-BB0760                0    0    0    0    0    0    0    0    0    0    0  600    0    0    0  600    0    0    0  600    0    0    0  600    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31064               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF31064               0    0    0    0    0    0    0  900    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      35
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB21644               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB21644             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF7115                0    0    0    0    0    0    0    0    0    0    0    0  960    0    0    0    0    0    0    0    0    0    0    0    0    0      37  +60.0% 
  Man 13640-FF7115                0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0151                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB0151              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB33528               0    0    0    0    0    0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +85.0% 
  Man 13640-BB33528               0    0    0    0    0    0    0    0    0    0    0  600    0    0    0  600    0    0    0  600    0    0    0  600    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-SF8170                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-SF8170                0    0  300    0    0    0  300    0    0    0  300    0    0    0    0  300    0    0    0  300    0    0    0    0    0    0      58
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB33532               0    0    0 2682    0    0    0    0    0 2682    0    0    0    0    0 2682    0    0    0    0    0 2682    0    0    0    0     413  +240.6% 
  Man 13640-BB33532               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 1050    0    0    0 1050    0    0    0 1050    0    0     121
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB33534               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB33534             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF7110                0    0    0    0    0    0 1278    0    0    0    0    0    0    0 1278    0    0    0    0    0    0    0 1278    0    0    0     147  +59.8% 
  Man 13640-FF7110                0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB34751               0    0    0    0    0    0    0    0    0    0    0  960    0    0    0    0    0    0    0    0    0    0    0    0    0    0      37  +61.6% 
  Man 13640-BB34751               0    0    0    0    0    0    0  500    0    0    0  500    0    0    0  500    0    0    0  500    0    0    0  500    0    0      96
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB34389               0    0    0    0    0    0    0    0    0    0 7512    0    0    0    0    0    0    0    0    0    0    0 7512    0    0    0     578  +43.1% 
  Man 13640-BB34389               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 3500    0    0    0 3500    0    0    0 3500    0    0     404
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB34390               0    0    0    0 5076    0    0    0    0    0    0    0    0    0    0    0    0 5070    0    0    0    0    0    0    0    0     390  +15.4% 
  Man 13640-BB34390               0    0    0    0    0    0    0 3000    0    0    0    0    0    0    0 3000    0    0    0 3000    0    0    0 3000    0    0     462
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB34403               0    0    0 4104    0    0    0 4104    0    0    0 4104    0    0    0 4104    0    0    0 4104    0    0    0 4086    0    0     946  +5.4% 
  Man 13640-BB34403               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 9000    0    0    0 10000    0    0    0 7000    0    0   1,000
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB27359               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB27359             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB26923               0    0    0    0    0    0    0    0    0 1248    0    0    0    0    0    0    0    0    0    0    0 1248    0    0    0    0      96  +58.4% 
  Man 13640-BB26923               0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB26924               0    0    0    0    0    0    0    0    0 1248    0    0    0    0    0    0    0    0    0    0    0 1248    0    0    0    0      96  +16.8% 
  Man 13640-BB26924               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF30755               0    0    0    0    0    0    0    0    0    0    0  960    0    0    0    0    0    0    0    0    0    0    0  960    0    0      74  +20.0% 
  Man 13640-FF30755               0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31325               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF31325               0    0 1200    0    0    0 1200    0    0    0 1200    0    0    0    0 1200    0    0    0 1200    0    0    0    0    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF34430               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF34430               0    0  300    0    0    0  300    0    0    0  300    0    0    0    0  300    0    0    0  300    0    0    0    0    0    0      58
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF8652                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF8652              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF11899/24            0    0    0    0    0    0  120    0    0    0  120    0    0    0    0  120    0    0    0  120    0    0    0    0    0    0      18  +92.0% 
  Man 13640-FF11899/24            0    0    0    0    0    0 1500    0    0    0 1500    0    0    0    0 1500    0    0    0 1500    0    0    0    0    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF34428               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF34428             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31326               0    0    0    0    0    0    0    0    0 4164    0    0    0    0    0    0    0    0    0    0    0 4158    0    0    0    0     320  +7.5% [BW]
  Man 13640-FF31326               0    0    0    0    0    0    0    0    0    0 3000    0    0    0    0 3000    0    0    0 3000    0    0    0    0    0    0     346
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31063               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF31063               0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31068               0    0    0    0    0 2736    0    0    0    0    0    0 2736    0    0    0    0    0    0 2736    0    0    0    0    0    0     316  +1.7% 
  Man 13640-FF31068               0 2802    0    0    0    0    0 2636    0    0    0 2636    0    0    0    0    0    0    0    0    0    0    0    0    0    0     311
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF34974               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF34974             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33637               0    0    0    0    0    0    0 2466    0    0    0    0    0    0 2466    0    0    0    0    0 2460    0    0    0    0    0     284  +36.9% 
  Man 13640-FF33637               0    0    0    0    0    0    0    0    0    0 1800    0    0    0    0 1800    0    0    0 1800    0    0    0    0    0    0     208
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33638               0    0    0    0    0 3270    0    0    0    0    0    0 3270    0    0    0    0    0    0 3270    0    0    0    0    0    0     377  +2.2% 
  Man 13640-FF33638               0 2400    0    0    0    0    0    0    0    0 2400    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     369
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB31256               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-BB31256               0    0    0  900    0    0    0  450    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      52
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB36796               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB36796             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF4930                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF4930              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF30758               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
